datum;p1;p2;n1;n2;Gas;zon;p1+p2;n1+n2
19-02-2024;7064,2;5974,94;5848,44;13357,7;6304,9;4892,71;13038,96;19205,51;
20-02-2024;7066,55;5980,41;5848,44;13362,40;6308,16;4900,57;13046,96;19210,84;
21-02-2024;7068,28;5987,97;5848,44;13363,4;6312,68;4902,80;13056,25;19211,48;
22-02-2024;7070,51;5995,38;5848,44;13363,91;6317,22;4906,28;13065,89;19212,35;
23-02-2024;7073,61;6002,82;5848,44;13369,0;6321,86;4914,17;13076,43;19217,44;
24-02-2024;7082,10;6002,82;5851,25;13369,0;6327,43;4919,99;13084,92;19220,25;
25-02-2024;7089,54;6002,82;5857,47;13369,0;6332,16;4929,77;13092,36;19226,47;
26-02-2024;7092,55;6011,61;5857,47;13369,4;6337,46;4931,61;13104,15;19226,51;
27-02-2024;7095,66;6015,4;5857,47;13387,57;6342,60;4953,34;13110,70;19245,4;
28-02-2024;7098,23;6019,77;5857,47;13391,58;6347,88;4959,69;13118,0;19249,5;
29-02-2024;7100,37;6033,70;5857,47;13391,64;6353,16;4961,58;13134,7;19249,11;
01-03-2024;7102,70;6038,60;5857,47;13397,61;6358,5;4970,56;13141,30;19255,8;
02-03-2024;7106,68;6038,60;5870,22;13397,61;6362,38;4986,34;13145,28;19267,83;
03-03-2024;7113,56;6038,60;5873,79;13397,61;6366,42;4992,51;13152,17;19271,40;
04-03-2024;7115,68;6041,88;5873,79;13412,40;6370,10;5010,61;13157,56;19286,19;
05-03-2024;7117,55;6046,24;5873,79;13413,79;6374,81;5014,65;13163,79;19287,58;
06-03-2024;7119,25;6049,21;5873,79;13428,50;6378,93;5032,18;13168,46;19302,29;
07-03-2024;7121,0;6051,59;5873,79;13445,79;6383,56;5054,48;13172,60;19319,58;
08-03-2024;7122,87;6057,21;5873,79;13465,27;6388,49;5079,31;13180,8;19339,6;
09-03-2024;7128,10;6057,21;5887,16;13465,27;6391,91;5095,97;13185,32;19352,43;
10-03-2024;7136,51;6057,21;5890,51;13465,27;6395,13;5102,2;13193,72;19355,78;
11-03-2024;7138,18;6063,66;5890,51;13465,65;6398,82;5103,60;13201,84;19356,16;
12-03-2024;7139,89;6067,34;5890,51;13469,34;6402,77;5109,43;13207,23;19359,85;
13-03-2024;7141,96;6071,95;5890,51;13470,7;6405,88;5112,18;13213,91;19360,58;
14-03-2024;7143,75;6074,71;5890,51;13486,42;6408,55;5133,53;13218,45;19376,93;
15-03-2024;7145,50;6079,37;5890,51;13492,68;6410,52;5143,58;13224,87;19383,19;
16-03-2024;7149,10;6079,37;5895,79;13492,68;6412,74;5151,54;13228,47;19388,47;
17-03-2024;7154,14;6079,37;5900,77;13492,68;6416,40;5158,85;13233,51;19393,45;
18-03-2024;7156,98;6083,74;5900,77;13505,21;6419,31;5175,73;13240,72;19405,98;
19-03-2024;7157,79;6085,68;5900,77;13520,76;6420,89;5193,89;13243,46;19421,53;
20-03-2024;7159,62;6087,31;5900,77;13533,69;6422,94;5210,17;13246,92;19434,46;
21-03-2024;7161,47;6093,91;5900,77;13535,39;6423,45;5214,60;13255,38;19436,16;
22-03-2024;7163,40;6104,70;5900,77;13535,54;6427,26;5216,75;13268,10;19436,31;
23-03-2024;7168,68;6104,70;5909,24;13535,54;6431,71;5228,45;13273,37;19444,78;
24-03-2024;7174,44;6104,70;5914,4;13535,54;6435,37;5235,79;13279,14;19449,58;
25-03-2024;7176,16;6107,88;5914,4;13554,1;6439,98;5258,26;13284,3;19468,5;
26-03-2024;7178,9;6111,43;5914,4;13559,95;6444,6;5267,2;13289,52;19473,99;
27-03-2024;7179,91;6114,63;5914,4;13569,4;6446,99;5279,83;13294,54;19483,8;
28-03-2024;7181,72;6120,25;5914,4;13578,33;6451,39;5292,70;13301,97;19492,37;
29-03-2024;7183,62;6123,79;5914,4;13589,8;6454,59;5307,32;13307,41;19503,12;
30-03-2024;7194,52;6123,79;5914,93;13589,8;6458,33;5310,38;13318,31;19504,1;
31-03-2024;7200,82;6123,79;5921,29;13589,8;6460,64;5321,58;13324,61;19510,37;
01-04-2024;7203,90;6123,79;5931,92;13589,8;6463,6;5334,46;13327,69;19521,0;
02-04-2024;7205,84;6127,62;5931,92;13592,46;6466,73;5341,26;13333,47;19524,38;
03-04-2024;7207,75;6132,54;5931,92;13597,52;6469,84;5349,27;13340,29;19529,44;
04-04-2024;7209,68;6136,26;5931,92;13607,18;6472,8;5364,57;13345,94;19539,10;
05-04-2024;7211,30;6139,34;5931,92;13616,75;6473,63;5376,9;13350,63;19548,67;
